name,date,diameter_m,velocity_km_s,miss_distance_km,eccentricity,hazardous
(2024 AK3),2024-01-09,99.5497053148,10.7997433611,21319889.654573135,0.0,0
(2024 BU),2024-01-09,13.0028927004,7.0303533928,2739335.81526923,0.0,0
(2024 BE4),2024-01-09,31.4803809193,7.6123806597,7101308.474198198,0.0,0
(2024 RX13),2024-01-09,3.6478752572,4.7445183503,31731437.907492515,0.0,0
(2025 BE1),2024-01-09,30.2022973344,6.9306554759,18541709.405977573,0.0,0
(1994 GL),2024-01-11,47.2106498806,7.9110407383,68392432.77087192,0.0,0
(2006 XY2),2024-01-11,187.9489824394,9.2537526551,50573342.875874445,0.0,0
(2010 AG40),2024-01-11,235.5266086831,26.5453030055,46379981.28807228,0.0,0
(2012 BU61),2024-01-11,300.6353038309,29.5855017581,31235090.515531376,0.0,1
(2012 RT16),2024-01-11,24.7765012606,14.9467175304,34186335.348883845,0.0,0
(2015 MO66),2024-01-11,567.5968528656,21.5899798148,48943737.823269255,0.0,0
(2015 OX78),2024-01-11,639.7937286834,20.8344275067,47519518.304349795,0.0,0
(2016 WU7),2024-01-11,54.2050786336,11.9637775433,53590787.878337614,0.0,0
(2017 YQ5),2024-01-11,68.2401509401,11.8228203618,28573611.44564452,0.0,0
(2018 EC1),2024-01-11,34.201092472,7.5039087853,63871706.358625986,0.0,0
(2020 AC1),2024-01-11,12.4749834683,5.3164554643,7388566.767925595,0.0,0
(2020 PF5),2024-01-11,137.4168467624,10.036359312,24189379.47636741,0.0,0
(2020 QY),2024-01-11,56.7596852866,23.2216542638,74196711.61543931,0.0,0
604197 (2015 MO66),2024-01-11,567.5968528656,21.5899774047,48943736.19265247,0.0,0
(2023 WZ3),2024-01-11,70.151987353,3.9876889327,6193680.18532465,0.0,0
(2023 XV1),2024-01-11,320.6564489709,14.7304671156,41651143.77366772,0.0,1
(2024 AE2),2024-01-11,180.3183724451,16.4531786212,14217867.030063132,0.0,0
(2024 AG2),2024-01-11,102.3387195373,10.3400020621,9535581.724920277,0.0,0
